RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31
394358,20,"Baltimore, MD",msa,MD,269715.0,272977.0,272106.0,271362.0,267622.0,266136.0,263557.0,268250.0,273118.0,277198.0,277670.0,278135.0,277917.0,280945.0,281547.0,282257.0,282327.0,284146.0,285871.0,290754.0,299525.0,299660.0,293542.0,288506.0,297210.0,304525.0,311009.0,310749.0,308611.0,307250.0,306028.0,304539.0,299175.0,298932.0,302213.0,304483.0,305321.0,308567.0,315799.0,316260.0,314800.0,314025.0,315229.0,317933.0,319093.0,324579.0,326699.0,324690.0,323326.0,324445.0,324856.0,320795.0,316774.0,316228.0,320240.0,323157.0,327942.0,332028.0,336543.0,340914.0,342877.0,347900.0,347326.0,351198.0,349118.0,352860.0,354763.0,358441.0,361758.0,365542.0,372254.0,373293.0,370417.0,369999.0,371776.0,376360.0,376907.0
395121,21,"St. Louis, MO",msa,MO,169317.0,170951.0,172825.0,173248.0,173505.0,174916.0,174760.0,176622.0,175578.0,175776.0,176459.0,175874.0,176886.0,175045.0,177194.0,178357.0,180138.0,181357.0,180213.0,181642.0,184138.0,187212.0,188881.0,191629.0,193599.0,197731.0,200338.0,204164.0,203568.0,200120.0,199302.0,197801.0,198896.0,198855.0,203272.0,207349.0,210468.0,213612.0,213833.0,214621.0,212193.0,210338.0,209961.0,210400.0,213858.0,214928.0,221704.0,224009.0,226634.0,223457.0,222786.0,221480.0,219348.0,215782.0,215793.0,215379.0,219761.0,219755.0,226379.0,230055.0,235214.0,234192.0,231396.0,226971.0,223681.0,220915.0,222456.0,225757.0,229258.0,234124.0,238175.0,243198.0,243406.0,242665.0,246148.0,250292.0,252316.0
394943,22,"Orlando, FL",msa,FL,239695.0,240655.0,241646.0,243753.0,244751.0,246889.0,248069.0,248192.0,248379.0,249451.0,251440.0,253112.0,254282.0,255135.0,254811.0,253899.0,255864.0,258202.0,261162.0,261977.0,264204.0,265333.0,265925.0,267512.0,271579.0,275756.0,279651.0,283928.0,287069.0,288786.0,289675.0,293580.0,300232.0,306393.0,313908.0,321503.0,328810.0,333396.0,338759.0,345066.0,352092.0,357482.0,362868.0,370556.0,379817.0,388457.0,393279.0,393510.0,392400.0,389550.0,388830.0,388172.0,387069.0,383708.0,384034.0,386718.0,390922.0,395164.0,398850.0,403099.0,400799.0,400095.0,399848.0,402425.0,403943.0,401128.0,401715.0,403669.0,405952.0,406167.0,406597.0,407113.0,407244.0,405695.0,407938.0,408824.0,409979.0
394458,23,"Charlotte, NC",msa,NC,215453.0,215505.0,215983.0,217051.0,217655.0,218944.0,220279.0,222494.0,225356.0,227358.0,230265.0,233093.0,231702.0,233253.0,234694.0,238486.0,241161.0,243173.0,246712.0,247162.0,250529.0,245919.0,246228.0,247937.0,258034.0,264413.0,271278.0,275406.0,277217.0,277851.0,278133.0,280963.0,284836.0,291012.0,296202.0,302075.0,306198.0,313554.0,320044.0,325982.0,329620.0,334006.0,338004.0,339892.0,346149.0,353958.0,361562.0,362240.0,359773.0,356119.0,352811.0,350593.0,345338.0,349139.0,347420.0,351191.0,346805.0,351044.0,357818.0,363816.0,367694.0,364730.0,367972.0,364935.0,363390.0,360751.0,366807.0,373319.0,379017.0,378653.0,383171.0,385748.0,387733.0,387464.0,387491.0,385125.0,384780.0
395055,24,"San Antonio, TX",msa,TX,212504.0,211351.0,212282.0,211538.0,212531.0,211013.0,211609.0,212984.0,215563.0,217547.0,218714.0,220270.0,221111.0,221184.0,222981.0,221569.0,222023.0,222359.0,225328.0,227209.0,228995.0,228977.0,230297.0,234600.0,240470.0,245484.0,249434.0,252588.0,253836.0,253863.0,254596.0,256477.0,260499.0,264783.0,269889.0,277173.0,281937.0,285986.0,290012.0,295037.0,298471.0,298890.0,300244.0,304609.0,311140.0,319017.0,323578.0,324014.0,319778.0,318609.0,319233.0,316613.0,312417.0,307870.0,308259.0,306304.0,305809.0,305569.0,305787.0,308111.0,307940.0,307841.0,308330.0,306808.0,307855.0,306287.0,306698.0,306283.0,307112.0,306846.0,305703.0,306551.0,307202.0,307091.0,307288.0,308030.0,310205.0
394998,25,"Portland, OR",msa,OR,387029.0,385449.0,386361.0,384726.0,386220.0,385989.0,389139.0,391230.0,393291.0,394792.0,395605.0,396274.0,395624.0,395946.0,398596.0,402153.0,402508.0,405016.0,405815.0,411356.0,411856.0,409890.0,409870.0,414118.0,423760.0,433687.0,442662.0,448890.0,451893.0,455246.0,464335.0,472459.0,483359.0,491679.0,500745.0,505732.0,510139.0,511114.0,515639.0,517300.0,521909.0,523077.0,527282.0,536853.0,545675.0,555516.0,558592.0,559543.0,552568.0,548104.0,543143.0,541813.0,533355.0,525823.0,523462.0,525301.0,530703.0,535675.0,542513.0,548743.0,547116.0,548053.0,545817.0,546515.0,545373.0,539999.0,539463.0,540971.0,551318.0,555998.0,557868.0,555214.0,555260.0,554799.0,556003.0,555972.0,558485.0
395045,26,"Sacramento, CA",msa,CA,395896.0,394510.0,392497.0,393396.0,392802.0,393773.0,395412.0,396528.0,401037.0,404968.0,408617.0,409686.0,412193.0,411392.0,410446.0,409149.0,409585.0,410412.0,412186.0,419641.0,424975.0,423701.0,424580.0,433295.0,449966.0,462353.0,469599.0,473059.0,477368.0,481437.0,487235.0,497619.0,509055.0,522641.0,531591.0,537583.0,540328.0,542303.0,543435.0,548323.0,550117.0,553222.0,559188.0,573307.0,585046.0,590250.0,584843.0,578398.0,565240.0,556061.0,547231.0,545860.0,536335.0,535093.0,531500.0,532540.0,532346.0,534350.0,542511.0,550534.0,553688.0,557803.0,558677.0,558254.0,559731.0,556771.0,560597.0,558448.0,563296.0,566449.0,569453.0,568619.0,567441.0,568358.0,572216.0,575579.0,582054.0
394982,27,"Pittsburgh, PA",msa,PA,152306.0,151887.0,150795.0,150514.0,152087.0,152374.0,153230.0,152085.0,152786.0,154244.0,155756.0,157649.0,159604.0,158812.0,159471.0,159190.0,159566.0,159682.0,159167.0,162367.0,169018.0,169050.0,167662.0,167270.0,171283.0,176205.0,176417.0,178794.0,177867.0,178453.0,177944.0,181695.0,182599.0,186796.0,191371.0,196734.0,197897.0,197063.0,193922.0,193028.0,191758.0,192125.0,191558.0,191010.0,192007.0,195589.0,198704.0,201239.0,200663.0,198128.0,195984.0,192316.0,188882.0,186397.0,186925.0,188365.0,190466.0,191646.0,197256.0,200386.0,203652.0,202847.0,199854.0,197494.0,195567.0,194490.0,198166.0,200995.0,205810.0,208196.0,208914.0,211840.0,211266.0,209716.0,210022.0,208025.0,214021.0
394466,28,"Cincinnati, OH",msa,OH,165157.0,166234.0,167311.0,169493.0,168188.0,168308.0,169068.0,172568.0,174040.0,174745.0,175212.0,175933.0,175246.0,175222.0,175385.0,176852.0,177308.0,178189.0,178610.0,183194.0,184938.0,184360.0,183042.0,184857.0,191487.0,195691.0,200387.0,202186.0,203824.0,202293.0,200554.0,198482.0,201551.0,204002.0,212010.0,215620.0,220219.0,220886.0,223833.0,228086.0,231022.0,231007.0,229768.0,228153.0,230075.0,233633.0,237568.0,237941.0,234889.0,233467.0,231830.0,224937.0,222764.0,219062.0,226555.0,227766.0,237150.0,242812.0,246983.0,248953.0,249605.0,251547.0,251724.0,252696.0,252725.0,251565.0,253763.0,256319.0,259372.0,263451.0,264836.0,269741.0,267864.0,271456.0,272793.0,275954.0,278512.0
394355,29,"Austin, TX",msa,TX,314335.0,309970.0,312115.0,311749.0,313571.0,312335.0,308982.0,309004.0,313026.0,321677.0,330579.0,331058.0,328402.0,325269.0,328282.0,327847.0,330816.0,328474.0,333946.0,336744.0,340256.0,337755.0,339169.0,347819.0,358363.0,368909.0,374487.0,382041.0,386555.0,389776.0,402789.0,423778.0,455739.0,474073.0,486345.0,487730.0,487279.0,484614.0,477382.0,478674.0,480911.0,490935.0,501795.0,521888.0,541856.0,561128.0,561836.0,552144.0,535239.0,522610.0,513058.0,501728.0,486654.0,479160.0,468787.0,467180.0,462844.0,465479.0,471724.0,473165.0,477481.0,475629.0,475423.0,469009.0,468486.0,463605.0,467071.0,463657.0,467803.0,467627.0,470286.0,469101.0,466177.0,469028.0,468157.0,467391.0,466143.0
